person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
58,24432.0,MORTGAGE,6.0,DEBTCONSOLIDATION,G,21857.0,22.03,0.89,N,7.0,0
48,71488.0,MORTGAGE,4.0,HOMEIMPROVEMENT,C,6544.0,13.36,0.09,N,9.0,0
34,109199.0,OTHER,7.0,HOMEIMPROVEMENT,D,34519.0,10.38,0.32,Y,15.0,0
62,28953.0,OTHER,6.0,EDUCATION,D,32015.0,11.74,1.11,N,7.0,0
27,92833.0,RENT,0.0,MEDICAL,C,14174.0,18.97,0.15,N,25.0,1
40,115577.0,MORTGAGE,10.0,HOMEIMPROVEMENT,F,28330.0,7.84,0.25,N,24.0,0
58,82232.0,OWN,4.0,EDUCATION,B,11556.0,5.5,0.14,Y,28.0,0
38,39347.0,OTHER,6.0,EDUCATION,A,12707.0,,0.32,N,6.0,0
42,31249.0,OTHER,9.0,MEDICAL,C,5632.0,14.57,0.18,N,22.0,0
30,63458.0,OWN,6.0,HOMEIMPROVEMENT,A,11423.0,,0.18,N,11.0,1
30,95193.0,RENT,10.0,HOMEIMPROVEMENT,E,21713.0,16.7,0.23,N,24.0,1
43,98496.0,MORTGAGE,2.0,MEDICAL,B,5385.0,8.23,0.05,Y,17.0,0
55,57668.0,MORTGAGE,4.0,EDUCATION,D,2554.0,17.02,0.04,N,28.0,1
59,93442.0,OWN,7.0,EDUCATION,G,31424.0,22.77,0.34,N,25.0,0
43,115781.0,RENT,8.0,PERSONAL,C,3930.0,15.87,0.03,N,28.0,1
22,12802.0,OWN,8.0,DEBTCONSOLIDATION,F,31632.0,9.08,2.47,N,7.0,0
41,111426.0,MORTGAGE,9.0,VENTURE,B,28804.0,,0.26,Y,14.0,0
21,110760.0,OWN,4.0,MEDICAL,A,19941.0,8.75,0.18,N,28.0,0
43,28033.0,OWN,1.0,MEDICAL,C,4836.0,17.94,0.17,N,13.0,1
63,45088.0,MORTGAGE,7.0,EDUCATION,D,15340.0,19.93,0.34,N,14.0,1
49,119001.0,MORTGAGE,6.0,MEDICAL,D,17319.0,8.21,0.15,N,26.0,0
57,27527.0,MORTGAGE,3.0,DEBTCONSOLIDATION,G,24738.0,22.88,0.9,N,5.0,0
21,21964.0,OWN,4.0,HOMEIMPROVEMENT,C,31752.0,17.24,1.45,Y,17.0,0
40,51005.0,OWN,,PERSONAL,C,26988.0,12.11,0.53,N,12.0,0
52,95234.0,OWN,9.0,HOMEIMPROVEMENT,B,9365.0,10.77,0.1,N,21.0,1
